english,arabic
arthroscopy,تنظير المفصل
as well,"أيضا, كذلك, بالإضافة إلى"
aspect,جانب، مظهر، وجهة نظر
aspects,النواحي
Aspiration,رشف
assess,قيم
assiduously,باجتهاد
Associations,تصاحب
assumed,مفترض ، افترض
Assumption,"افترض, تول, تولي المنصب, افتراض, ظهور, ادعاء"
asymptomatic,غير عرضي
Asymptomatic,عديم الأعراض
atavistic,رجعي ، تراجعي
Atavistic,رجعي
ataxic,رنحي
athetoid,المكنوعين
attention deficit hyperactivity disorder,اضطراب نقص الانتباه وفرط النشاط
augment,يزداد ، ارتفاع
auscultation,تسمع ، اصغاء
automatic,"أوتوماتيكي, آلي الحركة, ذاتي الحركة, تلقائي"
autosomal,صبغي جسدي
Autosomal dominant,وراثي جسدي سائد (جسمي قاهر)
Autosomal recessive,وراثي جسدي متنحي (جسمي مقهور)
bars,قضبان
beaded,المعجر (المطرز)
beaking,تمنقر
beaks,المناقير
bearing,وقفة
beg,"التمس, افترض جدلا"
begs,"التمس, افترض جدلا,"
Biconcave,مقعر الوجهين
bilateral,ثنائي الجانب
block out,"قفل, انسداد"
bone age,العمر العظمي
bone scans,مسح العظام بالأشعة
boot,"جزمة، نعل, الحذاء, حذاء طويل, سوقاء (حذاء طويل الساق)"
boot,"جزمة، نعل ، الحذاء ، حذاء طويل, سوقاء (حذاء طويل الساق)"
brace,سناد
bracing,التثبيت بسناد
bracing,تثبيت بدعامة
bracing,وضع سناد
bruising,تكدم
bruit,لغط
Bystander,متفرج، غير مشترك
calcaneovalgus,عقبي فحجي
Caregivers,مقدمي الرعاية
carpectomy,استئصال عظام الرسغ
carried,محمول
Casting,التجبير بقالب جبسي
cataract,ساد
Cataracts,حالات الساد
categorized,مصنف
caudad,ذنبيا (باتجاه الذنب)
cavus,حنف خمصي
cephalad,رأسيا (باتجاه الرأس)
Cerebrospinal fluid,السائل الدماغي الشوكي
cervical,رقبية
challenge,التحدي
CHARACTER,خاصية
characteristics,خصائص
checklist,قائمة التدقيق
chondrolytic,حال للغضروف
